_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
184,Doble Master at Sculpting Extreme and Ilustration Concept-Art,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
185,Double Master in VFX with Houdini and Digital Film,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
186,Double Master in Videogame Programming Extreme,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
187,Master in Character Animation,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
188,Master in Digital Film,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
189,Master in Game Design,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
190,Master in Illustration and Concept-Art,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
191,Master in Matte Painting,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
192,Master in Sculpting Extreme,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
193,Master in VFX with Houdini,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
194,Master in Videogame Art,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
195,Master in Videogame Programming,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
196,Anthropology and Social Change MA and PhD Programs,California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
197,East-West Psychology MA and PhD Programs,California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
198,"Ecology, Spirituality, and Religion MA and PhD Programs",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
199,MA in Transformative Leadership (Online Program),California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
200,"MA in Women, Gender, Spirituality, and Social Justice",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
201,"Master of Arts in Counseling Psychology, Concentration in Community Mental Health",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
202,"Master of Arts in Counseling Psychology, Concentration in Drama Therapy",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
203,"Master of Arts in Counseling Psychology, Concentration in Expressive Arts Therapy",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
204,"Master of Arts in Counseling Psychology, Concentration in Integral Counseling Psychology",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
205,"Master of Arts in Counseling Psychology, Concentration in Somatic Psychology",California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
206,Master of Fine Arts Programs (MFA),California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
207,Philosophy Cosmology and Consciousness MA and PhD Program,California Institute of Integral Studies,/,USA,"1453 Mission Street San Francisco, CA 94103, 94103, San Francisco",-122.4162697,37.7745153
208,Master of Information and Cybersecurity (MICS),UC Berkeley School of Information,/,USA,"School of Information University of California, Berkeley 102 South Hall #4600, 94720-4600, Berkeley",-122.2585206,37.8713583
209,Master of Information and Data Science,UC Berkeley School of Information,/,USA,"School of Information University of California, Berkeley 102 South Hall #4600, 94720-4600, Berkeley",-122.2585206,37.8713583
210,MA in Political Science,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
211,MS in Statistics,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
212,Master of Fine Arts in Interior Architecture,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
213,MA Applied Economics,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
214,MA in Exhibition Design,The George Washington University - Columbian College of Arts & Sciences,1570,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
215,MA in New Media Photojournalism,The George Washington University - Columbian College of Arts & Sciences,1720,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
216,MS in Geography,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
217,MS Chemistry,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
218,MS Data Science,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
219,MS in Environmental and Green Chemistry,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
220,MS in Physics,The George Washington University - Columbian College of Arts & Sciences,1825,USA,"Phillips Hall 801 22nd St. NW , 20052, Washington",/,/
221,Master of International Management,"Schiller International University - Florida, Heidelberg, Madrid, Paris",/,Germany,"Schiller International University Heidelberg Campus Zollhofgarten 1 , 69115, Heidelberg",8.6712528,49.4012024
222,Master of International Management (MIM) ONLINE,"Schiller International University - Florida, Heidelberg, Madrid, Paris",23718,France,"Schiller International University Paris Campus 9, rue Yvart , 75015, Paris",2.3017553,48.8372616
223,Master in International Relations and Diplomacy,"Schiller International University - Florida, Heidelberg, Madrid, Paris",/,France,"Schiller International University Paris Campus 9, rue Yvart , 75015, Paris",2.3017553,48.8372616
224,M.S. in Management Information Systems,University of Illinois Springfield,329,USA,"University of Illinois Springfield One University Plaza, 62703-5407, Springfield",-89.617654,39.7290207
225,Online M.S. in Computer Science,University of Illinois Springfield,/,USA,", , USA Online",-95.712891,37.09024
226,Online Master of Arts in Education,University of Illinois Springfield,/,USA,", , USA Online",-95.712891,37.09024
227,Online Master???s Degree in Environmental Sciences,University of Illinois Springfield,/,USA,", , USA Online",-95.712891,37.09024
228,Master of Professional Studies in Real Estate,Georgetown University Online,/,USA,", , Georgetown",-77.0653565,38.9097057
229,Master of Professional Studies in Sports Industry Management,Georgetown University Online,/,USA,", , Georgetown",-77.0653565,38.9097057
230,Master of Professional Studies in Technology Management,Georgetown University Online,/,USA,", , Georgetown",-77.0653565,38.9097057
231,Master of Science in Finance,Georgetown University Online,/,USA,", , Georgetown",-77.0653565,38.9097057
232,Master of Science in Business Analytics,Georgetown University Online,/,USA,", , Georgetown",-77.0653565,38.9097057
233,MSc in Physics,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
234,MSc in Physics: Astrophysics,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
235,MSc in Physics: Physics Education,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
236,"MSc in Science, Technology, Engineering, and Math (STEM) Education",Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
237,MSc in Sustainability,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
238,MSc Urban and Environmental Policy and Planning Joint Degree with Civil and Environmental Engineering,Tufts University - Graduate School of Arts and Sciences,38024,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
239,MA in Art History,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
240,MA in Art History and Museum Studies,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
241,MA in Child Study and Human Development,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
242,MA in Classics,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
243,MA in Classics with Teaching Licensure,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
244,MA in Digital Humanities,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
245,MA in Diversity and Inclusion Leadership,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
246,MA in Educational Studies,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
247,MA in German with Teaching Licensure,Tufts University - Graduate School of Arts and Sciences,52724,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
248,MA in History,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
249,MA in History and Museum Studies,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
250,MA in Museum Education,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
251,MA in Music,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
252,MA in Philosophy,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
253,MA in Urban and Environmental Policy and Planning,Tufts University - Graduate School of Arts and Sciences,39080,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
254,MA/Ed.S. in School Psychology,Tufts University - Graduate School of Arts and Sciences,47456,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
255,Master of Fine Arts in Studio Art,Tufts University - Graduate School of Arts and Sciences,48896,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
256,Master of Public Policy,Tufts University - Graduate School of Arts and Sciences,54196,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
257,MAT in Art Education (grades PK-8 and grades 5-12),Tufts University - Graduate School of Arts and Sciences,/,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
258,MAT in Elementary STEM Education,Tufts University - Graduate School of Arts and Sciences,/,USA,"2 The Green, Bendetson Hall, 02155, Medford",-71.1168428,42.4060725
